lambda1 [graus]                v0 [km/s]            deltav [km/s]           deltav1 [km/s]           deltav2 [km/s]            deltat [dias]           gamma0 [graus]       energym [km^2/s^2]                       em
          20.00       1.1530938064555325       0.5081084101600056       0.3183085476895881       0.1897998624704176       0.6947933048494123    -120.1383145289988192       0.0124321872606759       1.1500896993156335
          20.01       1.1530779804032507       0.5080563758356524       0.3182927216373063       0.1897636541983462       0.6949923625432141    -120.1367491841014186       0.0124105781825047       1.1498288200369351
          20.02       1.1530621841102728       0.5080044243548898       0.3182769253443284       0.1897274990105614       0.6951913376018033    -120.1351775590928384       0.0123890020931677       1.1495683390215603
          20.03       1.1530464175177602       0.5079525555570390       0.3182611587518157       0.1896913968052233       0.6953902300964310    -120.1335996653041320       0.0123674589261374       1.1493082554663447
          20.04       1.1530306805670176       0.5079007692818130       0.3182454218010732       0.1896553474807399       0.6955890400982822    -120.1320155140459036       0.0123459486150541       1.1490485685701459
          20.05       1.1530149731994934       0.5078490653693001       0.3182297144335490       0.1896193509357511       0.6957877676784713    -120.1304251166080661       0.0123244710937260       1.1487892775338533
          20.06       1.1529992953567785       0.5077974436599696       0.3182140365908340       0.1895834070691356       0.6959864129080467    -120.1288284842602394       0.0123030262961281       1.1485303815603738
          20.07       1.1529836469806052       0.5077459039946871       0.3181983882146607       0.1895475157800264       0.6961849758579904    -120.1272256282516508       0.0122816141564017       1.1482718798546110
          20.08       1.1529680280128485       0.5076944462146916       0.3181827692469040       0.1895116769677876       0.6963834565992150    -120.1256165598112347       0.0122602346088542       1.1480137716234815
          20.09       1.1529524383955245       0.5076430701615950       0.3181671796295801       0.1894758905320150       0.6965818552025657    -120.1240012901473904       0.0122388875879586       1.1477560560759055
          20.10       1.1529368780707896       0.5075917756774190       0.3181516193048451       0.1894401563725738       0.6967801717388250    -120.1223798304486934       0.0122175730283520       1.1474987324227648
          20.11       1.1529213469809418       0.5075405626045192       0.3181360882149974       0.1894044743895218       0.6969784062786997    -120.1207521918829713       0.0121962908648375       1.1472417998769715
          20.12       1.1529058450684184       0.5074894307856628       0.3181205863024740       0.1893688444831888       0.6971765588928385    -120.1191183855982558       0.0121750410323807       1.1469852576533819
          20.13       1.1528903722757966       0.5074383800639853       0.3181051135098522       0.1893332665541332       0.6973746296518170    -120.1174784227223427       0.0121538234661113       1.1467291049688348
          20.14       1.1528749285457931       0.5073874102829872       0.3180896697798486       0.1892977405031385       0.6975726186261458    -120.1158323143628195       0.0121326381013220       1.1464733410421475
          20.15       1.1528595138212632       0.5073365212865563       0.3180742550553187       0.1892622662312375       0.6977705258862693    -120.1141800716074357       0.0121114848734678       1.1462179650940834
          20.16       1.1528441280452006       0.5072857129189440       0.3180588692792562       0.1892268436396878       0.6979683515025639    -120.1125217055237329       0.0120903637181657       1.1459629763473715
          20.17       1.1528287711607377       0.5072349850247729       0.3180435123947932       0.1891914726299797       0.6981660955453380    -120.1108572271592720       0.0120692745711947       1.1457083740266936
          20.18       1.1528134431111434       0.5071843374490560       0.3180281843451990       0.1891561531038570       0.6983637580848376    -120.1091866475420034       0.0120482173684937       1.1454541573586547
          20.19       1.1527981438398252       0.5071337700371455       0.3180128850738807       0.1891208849632648       0.6985613391912376    -120.1075099776795696       0.0120271920461634       1.1452003255718270
          20.20       1.1527828732903260       0.5070832826347910       0.3179976145243816       0.1890856681104094       0.6987588389346495    -120.1058272285600736       0.0120061985404635       1.1449468778966885
          20.21       1.1527676314063267       0.5070328750880835       0.3179823726403822       0.1890505024477013       0.6989562573851140    -120.1041384111515669       0.0119852367878142       1.1446938135656690
