lambda1 [graus]                v0 [km/s]            deltav [km/s]           deltav1 [km/s]           deltav2 [km/s]            deltat [dias]           gamma0 [graus]       energym [km^2/s^2]                       em
          20.00       1.1149416468638864       0.4304193431583295       0.2889272053091312       0.1414921378491983       1.1160195204563237    -128.7467223262015068      -0.0078005036379911       0.8904519216254425
          20.01       1.1149437569340093       0.4304185197883179       0.2889293153792540       0.1414892044090638       1.1161423130782300    -128.7394752814500691      -0.0078020257014403       0.8904305461946009
          20.02       1.1149458702958195       0.4304177052108585       0.2889314287410643       0.1414862764697942       1.1162650140484496    -128.7322274704972074      -0.0078035449021045       0.8904092109679131
          20.03       1.1149479869436230       0.4304168994104965       0.2889335453888677       0.1414833540216288       1.1163876234942647    -128.7249788962518267      -0.0078050612450764       0.8903879158738445
          20.04       1.1149501068717376       0.4304161023718897       0.2889356653169823       0.1414804370549074       1.1165101415427310    -128.7177295616167783      -0.0078065747354359       0.8903666608410674
          20.05       1.1149522300744914       0.4304153140796490       0.2889377885197362       0.1414775255599128       1.1166325683207947    -128.7104794694895702      -0.0078080853782516       0.8903454457983861
          20.06       1.1149543565462241       0.4304145345184991       0.2889399149914689       0.1414746195270303       1.1167549039551774    -128.7032286227617703      -0.0078095931785794       0.8903242706748117
          20.07       1.1149564862812862       0.4304137636731659       0.2889420447265310       0.1414717189466350       1.1168771485724553    -128.6959770243195749      -0.0078110981414633       0.8903031353995082
          20.08       1.1149586192740384       0.4304130015283502       0.2889441777192832       0.1414688238090671       1.1169993022990812    -128.6887246770437230      -0.0078126002719358       0.8902820399017807
          20.09       1.1149607555188532       0.4304122480688810       0.2889463139640980       0.1414659341047830       1.1171213652612724    -128.6814715838090706      -0.0078140995750168       0.8902609841111462
          20.10       1.1149628950101138       0.4304115032795792       0.2889484534553586       0.1414630498242206       1.1172433375851067    -128.6742177474849598      -0.0078155960557147       0.8902399679572699
          20.11       1.1149650377422138       0.4304107671452973       0.2889505961874586       0.1414601709578387       1.1173652193965014    -128.6669631709352757      -0.0078170897190259       0.8902189913699824
          20.12       1.1149671837095576       0.4304100396508965       0.2889527421548024       0.1414572974960941       1.1174870108212218    -128.6597078570185033      -0.0078185805699351       0.8901980542792692
          20.13       1.1149693329065611       0.4304093207813340       0.2889548913518059       0.1414544294295282       1.1176087119848230    -128.6524518085871875      -0.0078200686134149       0.8901771566153118
          20.14       1.1149714853276500       0.4304086105215335       0.2889570437728948       0.1414515667486387       1.1177303230127436    -128.6451950284888142      -0.0078215538544264       0.8901562983084252
          20.15       1.1149736409672615       0.4304079088565069       0.2889591994125063       0.1414487094440006       1.1178518440302139    -128.6379375195649573      -0.0078230362979188       0.8901354792891154
          20.16       1.1149757998198426       0.4304072157712434       0.2889613582650874       0.1414458575061560       1.1179732751623435    -128.6306792846520466      -0.0078245159488297       0.8901146994880266
          20.17       1.1149779618798521       0.4304065312508351       0.2889635203250969       0.1414430109257382       1.1180946165340211    -128.6234203265806570      -0.0078259928120848       0.8900939588360006
          20.18       1.1149801271417583       0.4304058552803255       0.2889656855870031       0.1414401696933225       1.1182158682700343    -128.6161606481763613      -0.0078274668925985       0.8900732572640039
          20.19       1.1149822956000408       0.4304051878448594       0.2889678540452856       0.1414373337995738       1.1183370304949534    -128.6089002522588771      -0.0078289381952732       0.8900525947031986
          20.20       1.1149844672491898       0.4304045289295914       0.2889700256944345       0.1414345032351569       1.1184581033332037    -128.6016391416425790      -0.0078304067250001       0.8900319710848987
          20.21       1.1149866420837053       0.4304038785196841       0.2889722005289501       0.1414316779907340       1.1185790869090619    -128.5943773191365267      -0.0078318724866585       0.8900113863405692
          20.22       1.1149888200980986       0.4304032366003566       0.2889743785433434       0.1414288580570132       1.1186999813466236    -128.5871147875443228      -0.0078333354851165       0.8899908404018478
          20.23       1.1149910012868911       0.4304026031568579       0.2889765597321359       0.1414260434247220       1.1188207867698254    -128.5798515496640277      -0.0078347957252304       0.8899703332005326
          20.24       1.1149931856446147       0.4304019781744629       0.2889787440898595       0.1414232340846034       1.1189415033024432    -128.5725876082884440      -0.0078362532118455       0.8899498646685794
          20.25       1.1149953731658120       0.4304013616385073       0.2889809316110568       0.1414204300274506       1.1190621310680677    -128.5653229662048886      -0.0078377079497950       0.8899294347381184
          20.26       1.1149975638450356       0.4304007535343143       0.2889831222902803       0.1414176312440340       1.1191826701901626    -128.5580576261953354      -0.0078391599439013       0.8899090433414181
          20.27       1.1149997576768484       0.4304001538472554       0.2889853161220932       0.1414148377251622       1.1193031207920143    -128.5507915910365568      -0.0078406091989753       0.8898886904109147
          20.28       1.1150019546558243       0.4303995625627381       0.2889875131010691       0.1414120494616690       1.1194234829967471    -128.5435248634997834      -0.0078420557198166       0.8898683758792051
          20.29       1.1150041547765468       0.4303989796662126       0.2889897132217916       0.1414092664444210       1.1195437569273110    -128.5362574463509020      -0.0078434995112131       0.8898480996790507
          20.30       1.1150063580336103       0.4303984051431537       0.2889919164788550       0.1414064886642987       1.1196639427065052    -128.5289893423504850      -0.0078449405779420       0.8898278617433666
          20.31       1.1150085644216188       0.4303978389790401       0.2889941228668635       0.1414037161121766       1.1197840404569814    -128.5217205542540171      -0.0078463789247690       0.8898076620052136
          20.32       1.1150107739351869       0.4303972811594225       0.2889963323804317       0.1414009487789908       1.1199040503012063    -128.5144510848114123      -0.0078478145564486       0.8897875003978285
          20.33       1.1150129865689395       0.4303967316698591       0.2889985450141843       0.1413981866556748       1.1200239723614989    -128.5071809367673268      -0.0078492474777241       0.8897673768545936
          20.34       1.1150152023175117       0.4303961904959524       0.2890007607627565       0.1413954297331959       1.1201438067600107    -128.4999101128612438      -0.0078506776933279       0.8897472913090541
          20.35       1.1150174211755484       0.4303956576233254       0.2890029796207931       0.1413926780025322       1.1202635536187382    -128.4926386158273601      -0.0078521052079809       0.8897272436949059
          20.36       1.1150196431377049       0.4303951330376438       0.2890052015829496       0.1413899314546942       1.1203832130595108    -128.4853664483945010      -0.0078535300263932       0.8897072339460059
          20.37       1.1150218681986466       0.4303946167245918       0.2890074266438913       0.1413871900807005       1.1205027852040081    -128.4780936132863758      -0.0078549521532639       0.8896872619963601
          20.38       1.1150240963530487       0.4303941086698774       0.2890096547982934       0.1413844538715840       1.1206222701737529    -128.4708201132214640      -0.0078563715932809       0.8896673277801262
          20.39       1.1150263275955967       0.4303936088592716       0.2890118860408415       0.1413817228184301       1.1207416680900872    -128.4635459509128452      -0.0078577883511212       0.8896474312316310
          20.40       1.1150285619209863       0.4303931172785447       0.2890141203662311       0.1413789969123136       1.1208609790742148    -128.4562711290687105      -0.0078592024314508       0.8896275722853405
          20.41       1.1150307993239228       0.4303926339135161       0.2890163577691676       0.1413762761443485       1.1209802032471690    -128.4489956503916517      -0.0078606138389248       0.8896077508758825
          20.42       1.1150330397991217       0.4303921587500322       0.2890185982443665       0.1413735605056657       1.1210993407298251    -128.4417195175793438      -0.0078620225781875       0.8895879669380365
          20.43       1.1150352833413084       0.4303916917739699       0.2890208417865532       0.1413708499874167       1.1212183916429019    -128.4344427333242606      -0.0078634286538721       0.8895682204067344
          20.44       1.1150375299452180       0.4303912329712106       0.2890230883904628       0.1413681445807478       1.1213373561069784    -128.4271653003137033      -0.0078648320706013       0.8895485112170476
          20.45       1.1150397796055955       0.4303907823276926       0.2890253380508403       0.1413654442768523       1.1214562342424548    -128.4198872212297431      -0.0078662328329868       0.8895288393042123
          20.46       1.1150420323171966       0.4303903398294233       0.2890275907624413       0.1413627490669819       1.1215750261695461    -128.4126084987492220      -0.0078676309456293       0.8895092046036344
          20.47       1.1150442880747855       0.4303899054623542       0.2890298465200303       0.1413600589423239       1.1216937320083744    -128.4053291355441502      -0.0078690264131193       0.8894896070508290
          20.48       1.1150465468731370       0.4303894792125069       0.2890321053183817       0.1413573738941251       1.1218123518788723    -128.3980491342813650      -0.0078704192400362       0.8894700465814821
          20.49       1.1150488087070358       0.4303890610659668       0.2890343671522806       0.1413546939136862       1.1219308859007930    -128.3907684976221333      -0.0078718094309486       0.8894505231314446
          20.50       1.1150510735712762       0.4303886510088294       0.2890366320165210       0.1413520189923085       1.1220493341937472    -128.3834872282230890      -0.0078731969904147       0.8894310366367080
          20.51       1.1150533414606616       0.4303882490271597       0.2890388999059064       0.1413493491212534       1.1221676968772309    -128.3762053287358071      -0.0078745819229823       0.8894115870333843
          20.52       1.1150556123700062       0.4303878551071507       0.2890411708152509       0.1413466842918997       1.1222859740705156    -128.3689228018064625      -0.0078759642331879       0.8893921742577814
          20.53       1.1150578862941329       0.4303874692349457       0.2890434447393777       0.1413440244955680       1.1224041658927719    -128.3616396500764836      -0.0078773439255581       0.8893727982463172
          20.54       1.1150601632278749       0.4303870913967644       0.2890457216731197       0.1413413697236447       1.1225222724629818    -128.3543558761819554      -0.0078787210046087       0.8893534589355804
          20.55       1.1150624431660747       0.4303867215788273       0.2890480016113195       0.1413387199675079       1.1226402938999922    -128.3470714827541883      -0.0078800954748449       0.8893341562622933
          20.56       1.1150647261035849       0.4303863597674296       0.2890502845488296       0.1413360752186000       1.1227582303224621    -128.3397864724191493      -0.0078814673407614       0.8893148901633469
          20.57       1.1150670120352668       0.4303860059488379       0.2890525704805116       0.1413334354683263       1.1228760818489367    -128.3325008477981726      -0.0078828366068428       0.8892956605757517
          20.58       1.1150693009559920       0.4303856601093854       0.2890548594012368       0.1413308007081487       1.1229938485977802    -128.3252146115072208      -0.0078842032775629       0.8892764674366822
          20.59       1.1150715928606412       0.4303853222353997       0.2890571513058859       0.1413281709295137       1.1231115306872286    -128.3179277661575668      -0.0078855673573853       0.8892573106834420
          20.60       1.1150738877441051       0.4303849923133010       0.2890594461893499       0.1413255461239512       1.1232291282353135    -128.3106403143552257      -0.0078869288507631       0.8892381902535109
          20.61       1.1150761856012832       0.4303846703294691       0.2890617440465280       0.1413229262829411       1.1233466413599673    -128.3033522587014659      -0.0078882877621392       0.8892191060844806
          20.62       1.1150784864270851       0.4303843562703593       0.2890640448723298       0.1413203113980294       1.1234640701789311    -128.2960636017922695      -0.0078896440959460       0.8892000581141098
          20.63       1.1150807902164295       0.4303840501224312       0.2890663486616742       0.1413177014607570       1.1235814148098129    -128.2887743462190429      -0.0078909978566059       0.8891810462802898
          20.64       1.1150830969642445       0.4303837518721899       0.2890686554094892       0.1413150964627006       1.1236986753700531    -128.2814844945679056      -0.0078923490485308       0.8891620705210640
          20.65       1.1150854066654676       0.4303834615061560       0.2890709651107124       0.1413124963954436       1.1238158519769510    -128.2741940494203732      -0.0078936976761224       0.8891431307746128
          20.66       1.1150877193150459       0.4303831790108915       0.2890732777602907       0.1413099012506008       1.1239329447476405    -128.2669030133527315      -0.0078950437437723       0.8891242269792661
          20.67       1.1150900349079351       0.4303829043729482       0.2890755933531799       0.1413073110197683       1.1240499537991329    -128.2596113889366336      -0.0078963872558620       0.8891053590734782
          20.68       1.1150923534391015       0.4303826375789870       0.2890779118843463       0.1413047256946408       1.1241668792482287    -128.2523191787385031      -0.0078977282167625       0.8890865269958839
          20.69       1.1150946749035193       0.4303823786156025       0.2890802333487641       0.1413021452668384       1.1242837212116434    -128.2450263853202443      -0.0078990666308352       0.8890677306852151
          20.70       1.1150969992961728       0.4303821274694891       0.2890825577414176       0.1412995697280715       1.1244004798058909    -128.2377330112385039      -0.0079004025024310       0.8890489700803792
          20.71       1.1150993266120555       0.4303818841273458       0.2890848850573002       0.1412969990700456       1.1245171551473476    -128.2304390590452385      -0.0079017358358909       0.8890302451204140
          20.72       1.1151016568461694       0.4303816485758616       0.2890872152914141       0.1412944332844475       1.1246337473522683    -128.2231445312878009      -0.0079030666355460       0.8890115557444798
          20.73       1.1151039899935267       0.4303814208018370       0.2890895484387714       0.1412918723630656       1.1247502565366956    -128.2158494305080865      -0.0079043949057170       0.8889929018919163
          20.74       1.1151063260491481       0.4303812007920224       0.2890918844943928       0.1412893162976296       1.1248666828165768    -128.2085537592437277      -0.0079057206507150       0.8889742835021673
          20.75       1.1151086650080637       0.4303809885332531       0.2890942234533085       0.1412867650799446       1.1249830263076670    -128.2012575200270987      -0.0079070438748410       0.8889557005148431
          20.76       1.1151110068653125       0.4303807840123373       0.2890965653105573       0.1412842187017800       1.1250992871256125    -128.1939607153860834      -0.0079083645823861       0.8889371528696665
          20.77       1.1151133516159428       0.4303805872161601       0.2890989100611876       0.1412816771549725       1.1252154653858708    -128.1866633478436484      -0.0079096827776314       0.8889186405065231
          20.78       1.1151156992550120       0.4303803981316026       0.2891012577002567       0.1412791404313459       1.1253315612037744    -128.1793654199178150      -0.0079109984648485       0.8889001633654223
          20.79       1.1151180497775863       0.4303802167456101       0.2891036082228311       0.1412766085227790       1.1254475746944783    -128.1720669341219150      -0.0079123116482985       0.8888817213865282
          20.80       1.1151204031787409       0.4303800430450826       0.2891059616239857       0.1412740814210969       1.1255635059730404    -128.1647678929647043      -0.0079136223322334       0.8888633145101090
          20.81       1.1151227594535607       0.4303798770170407       0.2891083178988054       0.1412715591182352       1.1256793551543038    -128.1574682989497376      -0.0079149305208950       0.8888449426766140
          20.82       1.1151251185971385       0.4303797186484654       0.2891106770423832       0.1412690416060822       1.1257951223530072    -128.1501681545761926      -0.0079162362185153       0.8888266058265978
