lambda1 [graus]                v0 [km/s]            deltav [km/s]           deltav1 [km/s]           deltav2 [km/s]            deltat [dias]           gamma0 [graus]       energym [km^2/s^2]                       em
          30.00      11.0101818440293293       4.2686787299674780       3.2063250764760252       1.0623536534914528       2.3079239352563392    -136.2067518693594366       1.0091002570410827       1.8387212834954225
          30.01      11.0101242241295179       4.2683756847805832       3.2062674565762137       1.0621082282043690       2.3084733084188929    -136.2046931134315741       1.0084588501558542       1.8381881733288747
          30.02      11.0100666647648069       4.2680729320377537       3.2062098972115027       1.0618630348262506       2.3090225920997667    -136.2026323004423602       1.0078181095019336       1.8376556169056522
          30.03      11.0100091658529635       4.2677704713734865       3.2061523982996594       1.0616180730738272       2.3095717863579828    -136.2005694328300933       1.0071780341679579       1.8371236134680473
          30.04      11.0099517273118970       4.2674683024226461       3.2060949597585928       1.0613733426640528       2.3101208912525086    -136.1985045130295475       1.0065386232441571       1.8365921622598744
          30.05      11.0098943490596586       4.2671664248204983       3.2060375815063544       1.0611288433141444       2.3106699068422620    -136.1964375434717169       1.0058998758223496       1.8360612625264294
          30.06      11.0098370310144382       4.2668648382030092       3.2059802634611341       1.0608845747418747       2.3112188331861532    -136.1943685265841282       1.0052617909958972       1.8355309135141709
          30.07      11.0097797730945643       4.2665635422067574       3.2059230055412602       1.0606405366654976       2.3117676703430590    -136.1922974647905562       1.0046243678597189       1.8350011144708045
          30.08      11.0097225752185039       4.2662625364689397       3.2058658076651998       1.0603967288037399       2.3123164183718403    -136.1902243605111664       1.0039876055102761       1.8344718646452740
          30.09      11.0096654373048608       4.2659618206273642       3.2058086697515566       1.0601531508758080       2.3128650773313311    -136.1881492161624863       1.0033515030455784       1.8339431632877616
          30.10      11.0096083592723861       4.2656613943198689       3.2057515917190820       1.0599098026007874       2.3134136472802775    -136.1860720341574051       1.0027160595652580       1.8334150096503217
          30.11      11.0095513410399573       4.2653612571856483       3.2056945734866531       1.0596666836989952       2.3139621282774843    -136.1839928169054019       1.0020812741703851       1.8328874029854363
          30.12      11.0094943825265972       4.2650614088639225       3.2056376149732930       1.0594237938906295       2.3145105203816683    -136.1819115668120048       1.0014471459636414       1.8323603425474457
          30.13      11.0094374836514639       4.2647618489946941       3.2055807160981598       1.0591811328965344       2.3150588236515404    -136.1798282862794167       1.0008136740492257       1.8318338275917425
          30.14      11.0093806443338522       4.2644625772184694       3.2055238767805481       1.0589387004379214       2.3156070381457816    -136.1777429777060604       1.0001808575328743       1.8313078573750499
          30.15      11.0093238644931972       4.2641635931762050       3.2054670969398931       1.0586964962363115       2.3161551639230238    -136.1756556434869765       0.9995486955218730       1.8307824311554872
          30.16      11.0092671440490673       4.2638648965095554       3.2054103764957631       1.0584545200137923       2.3167032010418964    -136.1735662860133402       0.9989171871250176       1.8302575481922927
          30.17      11.0092104829211657       4.2635664868609382       3.2053537153678615       1.0582127714930762       2.3172511495610095    -136.1714749076729731       0.9982863314526099       1.8297332077457671
          30.18      11.0091538810293397       4.2632683638727240       3.2052971134760355       1.0579712503966885       2.3177990095388896    -136.1693815108502577       0.9976561276165442       1.8292094090781055
          30.19      11.0090973382935626       4.2629705271884895       3.2052405707402585       1.0577299564482310       2.3183467810340948    -136.1672860979255404       0.9970265747301602       1.8286861514520885
          30.20      11.0090408546339500       4.2626729764520093       3.2051840870806458       1.0574888893713630       2.3188944641051301    -136.1651886712760415       0.9963976719083524       1.8281634341321289
          30.21      11.0089844299707504       4.2623757113076532       3.2051276624174463       1.0572480488902070       2.3194420588104609    -136.1630892332752865       0.9957694182675335       1.8276412563838622
          30.22      11.0089280642243494       4.2620787314003703       3.2050712966710453       1.0570074347293246       2.3199895652085396    -136.1609877862931626       0.9951418129256152       1.8271196174741464
