lambda1 [graus]                v0 [km/s]            deltav [km/s]           deltav1 [km/s]           deltav2 [km/s]            deltat [dias]           gamma0 [graus]       energym [km^2/s^2]                       em
          30.00      10.7378890619042533       4.0584367247640518       3.1047264210714260       0.9537103036926258       2.6176686825605504    -135.6912694438579763       0.7066550832089530       1.5585151115525828
          30.01      10.7378520993187259       4.0582400469020836       3.1046894584858986       0.9535505884161846       2.6182256650840334    -135.6882306054745300       0.7062487071653878       1.5581939263425435
          30.02      10.7378151743490555       4.0580435554562131       3.1046525335162283       0.9533910219399848       2.6187825585864806    -135.6851903393992416       0.7058427351992845       1.5578730605010112
          30.03      10.7377782869475542       4.0578472502044178       3.1046156461147270       0.9532316040896909       2.6193393631276027    -135.6821486472049685       0.7054371667959070       1.5575525136211552
          30.04      10.7377414370666120       4.0576511309252181       3.1045787962337847       0.9530723346914334       2.6198960787670664    -135.6791055304621807       0.7050320014413585       1.5572322852966960
          30.05      10.7377046246586900       4.0574551973968429       3.1045419838258628       0.9529132135709806       2.6204527055645843    -135.6760609907388755       0.7046272386225166       1.5569123751222982
          30.06      10.7376678496763276       4.0572594493984830       3.1045052088435003       0.9527542405549831       2.6210092435797763    -135.6730150296007480       0.7042228778271256       1.5565927826929702
          30.07      10.7376311120721386       4.0570638867092281       3.1044684712393114       0.9525954154699168       2.6215656928722875    -135.6699676486111343       0.7038189185437187       1.5562735076045768
          30.08      10.7375944117988151       4.0568685091091661       3.1044317709659879       0.9524367381431782       2.6221220535016707    -135.6669188493308695       0.7034153602616933       1.5559545494533009
          30.09      10.7375577488091185       4.0566733163779114       3.1043951079762913       0.9522782084016201       2.6226783255275397    -135.6638686333185717       0.7030122024712038       1.5556359078363575
          30.10      10.7375211230558882       4.0564783082958176       3.1043584822230610       0.9521198260727561       2.6232345090094449    -135.6608170021303010       0.7026094446632485       1.5553175823514054
          30.11      10.7374845344920384       4.0562834846434939       3.1043218936592112       0.9519615909842827       2.6237906040069188    -135.6577639573197871       0.7022070863296350       1.5549995725967802
          30.12      10.7374479830705543       4.0560888452015647       3.1042853422377270       0.9518035029638381       2.6243466105795075    -135.6547095004384573       0.7018051269629560       1.5546818781716043
          30.13      10.7374114687445008       4.0558943897516730       3.1042488279116736       0.9516455618399995       2.6249025287866616    -135.6516536330353233       0.7014035660566654       1.5543644986753089
          30.14      10.7373749914670142       4.0557001180753751       3.1042123506341870       0.9514877674411881       2.6254583586878510    -135.6485963566571513       0.7010024031049950       1.5540474337081589
          30.15      10.7373385511913035       4.0555060299542376       3.1041759103584763       0.9513301195957613       2.6260141003425592    -135.6455376728481212       0.7006016376029593       1.5537306828712067
          30.16      10.7373021478706558       4.0553121251709392       3.1041395070378286       0.9511726181331110       2.6265697538101649    -135.6424775831502529       0.7002012690464350       1.5534142457657616
          30.17      10.7372657814584258       4.0551184035074987       3.1041031406255986       0.9510152628819002       2.6271253191501240    -135.6394160891030651       0.6998012969320303       1.5530981219942399
          30.18      10.7372294519080462       4.0549248647469813       3.1040668110752190       0.9508580536717623       2.6276807964218012    -135.6363531922439165       0.6994017207572083       1.5527823111593415
          30.19      10.7371931591730245       4.0547315086728144       3.1040305183401973       0.9507009903326167       2.6282361856845271    -135.6332888941076646       0.6990025400202337       1.5524668128643804
          30.20      10.7371569032069374       4.0545383350682735       3.1039942623741101       0.9505440726941634       2.6287914869976698    -135.6302231962268365       0.6986037542201359       1.5521516267135258
          30.21      10.7371206839634361       4.0543453437170065       3.1039580431306089       0.9503873005863972       2.6293467004205588    -135.6271561001316854       0.6982053628567468       1.5518367523115564
          30.22      10.7370845013962484       4.0541525344035412       3.1039218605634211       0.9502306738401201       2.6299018260124525    -135.6240876073501624       0.6978073654307313       1.5515221892636053
          30.23      10.7370483554591676       4.0539599069118450       3.1038857146263403       0.9500741922855047       2.6304568638326731    -135.6210177194077744       0.6974097614434872       1.5512079371758567
          30.24      10.7370122461060689       4.0537674610272578       3.1038496052732416       0.9499178557540167       2.6310118139404159    -135.6179464378277828       0.6970125503972783       1.5508939956546159
          30.25      10.7369761732908930       4.0535751965343572       3.1038135324580658       0.9497616640762914       2.6315666763949634    -135.6148737641310618       0.6966157317950850       1.5505803643073326
