                   X [km]                   Y [km]                 T [dias]
    -592.4779529868095551   -1065.8044562213267454       0.0000000000000000
    -584.9685446372960769   -1069.9606713214450338       0.0000854730521903
    -577.4436604581221673   -1074.0889981135799189       0.0001709481031438
    -569.9033212993423376   -1078.1894251589085343       0.0002564271516184
    -562.3475480538319289   -1082.2619410959091510       0.0003419121963607
    -554.7763616572301544   -1086.3065346403991498       0.0004274052361009
    -547.1897830878866671   -1090.3231945855629874       0.0005129082695467
    -539.5878333667970992   -1094.3119098019853936       0.0005984232953784
    -531.9705335575483787   -1098.2726692376757001       0.0006839523122431
    -524.3379047662599532   -1102.2054619181110411       0.0007694973187490
    -516.6899681415252417   -1106.1102769462529523       0.0008550603134599
    -509.0267448743520049   -1109.9871035025864785       0.0009406432948900
    -501.3482561981055028   -1113.8359308451472316       0.0010262482614979
    -493.6545233884473873   -1117.6567483095516309       0.0011118772116814
    -485.9455677632791435   -1121.4495453090257797       0.0011975321437720
    -478.2214106826803004   -1125.2143113344343419       0.0012832150560288
    -470.4820735488530090   -1128.9510359543135110       0.0013689279466337
    -462.7275778060591733   -1132.6597088148948842       0.0014546728136856
    -454.9579449405612763   -1136.3403196401347941       0.0015404516551944
    -447.1731964805664461   -1139.9928582317481869       0.0016262664690762
    -439.3733539961627912   -1143.6173144692295409       0.0017121192531475
    -431.5584390992611361   -1147.2136783098860633       0.0017980120051191
    -423.7284734435362452   -1150.7819397888647472       0.0018839467225917
    -415.8834787243634992   -1154.3220890191746548       0.0019699254030493
    -408.0234766787630178   -1157.8341161917219324       0.0020559500438541
    -400.1484890853373031   -1161.3180115753348218       0.0021420226422411
    -392.2585377642099616   -1164.7737655167868525       0.0022281451953124
    -384.3536445769672127   -1168.2013684408266272       0.0023143197000316
    -376.4338314265962708   -1171.6008108502073810       0.0024005481532185
    -368.4991202574243516   -1174.9720833257065351       0.0024868325515432
    -360.5495330550581912   -1178.3151765261527544       0.0025731748915209
    -352.5850918463240760   -1181.6300811884605082       0.0026595771695064
    -344.6058186992055425   -1184.9167881276446224       0.0027460413816881
    -336.6117357227826119   -1188.1752882368527935       0.0028325695240832
    -328.6028650671702280   -1191.4055724873887812       0.0029191635925313
    -320.5792289234577197   -1194.6076319287340084       0.0030058255826897
    -312.5408495236475233   -1197.7814576885809856       0.0030925574900273
    -304.4877491405911201   -1200.9270409728483173       0.0031793613098194
    -296.4199500879306015   -1204.0443730657102606       0.0032662390371420
    -288.3374747200346633   -1207.1334453296201445       0.0033531926668663
    -280.2403454319376124   -1210.1942492053344722       0.0034402241936531
    -272.1285846592763846   -1213.2267762119336112       0.0035273356119475
    -264.0022148782301770   -1216.2310179468515798       0.0036145289159732
    -255.8612586054561575   -1219.2069660858953739       0.0037018060997270
    -247.7057383980285294   -1222.1546123832654303       0.0037891691569733
    -239.5356768533745537   -1225.0739486715813200       0.0038766200812385
    -231.3510966092137551   -1227.9649668619072145       0.0039641608658056
    -223.1520203434942289   -1230.8276589437707571       0.0040517935037086
    -214.9384707743286071   -1233.6620169851835271       0.0041395199877269
    -206.7104706599343160   -1236.4680331326696887       0.0042273423103801
    -198.4680427985667848   -1239.2456996112782690       0.0043152624639220
    -190.2112100284591634   -1241.9950087246152179       0.0044032824403355
    -181.9399952277571799   -1244.7159528548529579       0.0044914042313268
    -173.6544213144572382   -1247.4085244627669908       0.0045796298283200
    -165.3545112463419002   -1250.0727160877406732       0.0046679612224517
    -157.0402880209153125   -1252.7085203477936375       0.0047564004045651
    -148.7117746753430936   -1255.3159299396049846       0.0048449493652051
    -140.3689942863844635   -1257.8949376385278356       0.0049336100946121
    -132.0119699703299716   -1260.4455362986111595       0.0050223845827170
    -123.6407248829381302   -1262.9677188526213740       0.0051112748191354
    -115.2552822193704003   -1265.4614783120625816       0.0052002827931621
    -106.8556652141265602   -1267.9268077671877109       0.0052894104937660
     -98.4418971409810553   -1270.3637003870312583       0.0053786599095839
     -90.0140013129190351   -1272.7721494194152001       0.0054680330289155
     -81.5720010820705284   -1275.1521481909794602       0.0055575318397178
     -73.1159198396453007   -1277.5036901071841839       0.0056471583295995
     -64.6457810158707247   -1279.8267686523513476       0.0057369144858153
     -56.1616080799238020   -1282.1213773896593011       0.0058268022952610
     -47.6634245398679539   -1284.3875099611741462       0.0059168237444674
     -39.1512539425872035   -1286.6251600878663339       0.0060069808195949
     -30.6251198737212889   -1288.8343215696236257       0.0060972755064284
     -22.0850459576002436   -1291.0149882852706469       0.0061877097903712
     -13.5310558571780568   -1293.1671541925854854       0.0062782856564401
      -4.9631732739690708   -1295.2908133283171992       0.0063690050892593
       3.6185780520195698   -1297.3859598082024149       0.0064598700730555
      12.2141743423535587   -1299.4525878269803343       0.0065508825916518
      20.8235917802362778   -1301.4906916584095597       0.0066420446284628
      29.4468065105739356   -1303.5002656552835560       0.0067333581664886
      38.0837946400454470   -1305.4813042494472484       0.0068248251883096
      46.7345322371646787   -1307.4338019518108922       0.0069164476760809
      55.3989953323482780   -1309.3577533523673537       0.0070082276115269
      64.0771599179835789   -1311.2531531202073438       0.0071001669759357
      72.7690019484908532   -1313.1199960035285130       0.0071922677501536
      81.4744973403954162   -1314.9582768296575068       0.0072845319145798
      90.1936219723905026   -1316.7679905050604248       0.0073769614491606
      98.9263516854052938   -1318.5491320153598735       0.0074695583333842
     107.6726622826719364   -1320.3016964253399692       0.0075623245462750
     116.4325295297921770   -1322.0256788789749862       0.0076552620663885
     125.2059291548056592   -1323.7210745994298122       0.0077483728718052
     133.9928368482553367   -1325.3878788890763190       0.0078416589401256
     142.7932282632557417   -1327.0260871295126890       0.0079351222484647
